pcba_sn_old,pcba_sn_new,component_type,specification,quantity,remark,year,shipment_date
,30221105000521,Battery connection cable,SE-G5.3 UL1332/UL1569 24AWG Black 16PIN with 02V 1.2BMSPCS sampling cable 1,3,,2025,
,30221105000830,Battery connection cable,MS-G215 UL1569 14AWG Black 8PIN BMU to BMU Communication Cable,4,,2025,
,30320100005229,Lithium battery intelligent equalization maintenance device,"Intelligent Lithium Battery Balancing Maintenance Instrument, Zhanyun Technology, 36 Channels",1,,2025,
,10100605000059,BMS Accessory Pack,"BOS-W-PDU-2 Neutral, Upright, 104Ah with 2-meter power cable",4,,2025,
,10100602000086,Wiring Harness Accessory Kit,BOS-G-PDU-2 BOS-G-PDU-2 LPCable 2000 DEYE BOS-G high-voltage box with BOS-GPRO battery pack wiring harness accessory package (excluding P+ and P- power and communication wiring harness between battery packs) (after-sales accessory package),12,,2025,
,10100602000087,Wiring Harness Accessory Kit,BOS-G-PDU-2 BOS-G-PDU-2 LPCable 2000 DEYE BOS-G high-voltage box with BOS-G and BOS-GPRO battery pack wiring harness accessory package. P+ and P- wiring harnesses are not included (after-sales accessory package).,12,,2025,
,10100602000085,Wiring Harness Accessory Kit,BOS-GM5.1 BOS-GM5.1 BCable 2000 DEYE BOS-G after-sales accessory package (single carton),24,,2025,
,30221105000057,Battery connection cable,BOS-G5.1 UL1569 22AWG Black 2PIN BMS Power Supply Harness,4,,2025,
,30220704000028,Power module,30V SPS-E305 50A KUAIQU Miniature DC Adjustable Regulated Power Supply,2,,2025,
,30220521000190,air switch,"Circuit breaker, Tianzheng TGBG-125-Green-1P C125 (RoHS)",3,,2025,
,30081001000060,Fuse,FUSE RS308-HB-4G100A 750V 100A Fast-Blow Assembly,12,,2025,
,30221105000337,Battery connection cable,GB-LBS UL10269 6AWG Black 1PIN 2000mm Fengnian Technology +MC4 PCS Power Cable Negative,5,,2025,
,30221105000336,Battery connection cable,GB-LBS UL10269 6AWG Red 1PIN 2000mm Fengnian Technology + MC4 PCS Power Cable,5,,2025,
,30221608000003,Fire sensors,Fire sensor Apollo 55000-316,4,,2025,
,30221608000002,Fire sensors,Fire sensor Apollo 55000-121,4,,2025,
,30221105000753,Communication line,Communication lines between clusters,5,,2025,
,20710401000026,Injection molded parts,BOS-B-PACK14.3 Output Fastener Bracket (Negative) 356-28 PA66+30GF Black Flame Retardant V0,10,,2025,
,20710401000025,Injection molded parts,BOS-B-PACK14.3 Output Fastener Bracket (Positive) 356-28 PA66+30GF Orange (RAL2003) Flame Retardant V0,10,,2025,
,20720104100001,Energy storage light panel DIP,HVMU02-16S_LED V1.0 DIP,20,,2025,
,30220501000013,push button switch,"Pushbutton switch, Huanli MPB16-A0F110-B-JQ",5,,2025,
,10100609000001,Screen accessory kit,Screen Accessory Kit Huiqin Zhiyuan WKS43WV041,4,,2025,
,20710105100011,Integrated Energy Storage Unit (DIP),LVESS12-ZJB 51.2V 2A V1.0 DIP,5,,2025,
,20720105100007,DIP adapter board,HVMU02_A Communication Board (Simplified Version) 36V 10A V1.0 DIP,5,,2025,
,30221501000003,Display screen,Display Screen WKS43WV055-WCT Huiqin Zhiyuan,5,,2025,
,20710105100010,Integrated Energy Storage Unit (DIP),BOS-B EMC_V1.0 / / V1.0 DIP,3,,2025,
,20720105100012,DIP adapter board,HVMU02_A Communication Board_V1.1 36V 10A V1.1 DIP Applicable to BIOS-B,3,,2025,
,20720105100001,DIP adapter board,HVCV02_BMS_Adapter_COM_V1.0 160-1000V 100A V1.0 DIP,10,,2025,
,20710105100003,Integrated Energy Storage Unit (DIP),LVESS03_Adapter_COM_V1.1_DIP 48V 100A V1.1 DIP,10,,2025,
,30221105001094,Battery connection cable,BOS-GM5.1 UL1430 22AWG Gray 9PIN BMU Temperature Acquisition Cable - Xingqin,10,,2025,
,20720105100002,DIP adapter board,HVCV02_BMU_Adapter_COM_V1.0 160-1000V 100A V1.0 DIP,20,,2025,
,10100605000061,BMU Accessory Pack,"BOS-B-Pack 14.3 Neutral, Ruipu Lanjun 280Ah",10,,2025,
,10100605000047,BMS Accessory Pack,GB-LBS-Pro GB-LBS-Pro Neutral HVCU04_V1.1 EVE,4,,2025,
,10100605000023,BMS Accessory Pack,GE-F-PDU GE-F-PDU Neutral /,3,,2025,
,10100605000022,BMU Accessory Pack,GE-F-BP5.1 GE-F-BP5.1 Neutral,10,,2025,
,10100605000082,BMS Accessory Pack,BOS-B-PDU-2 Neutral Ripu 280Ah,3,,2025,
,10100605000078,BMS Accessory Pack,RW-L5.1 RW-L5.1 DEYE LVESS11_V1.1 48V 120A V1.1 DIP (No Heating Version),3,,2025,
,10100605000077,BMS Accessory Pack,RW-L2.5A DEYE LVESS12_V1.1 24V 100A V1.1 DIP (Non-Heating Version),5,,2025,
,10100605000060,BMU Accessory Pack,BOS-W-Pack5.1 BOS-W-Pack5.1 Neutral Zhengli 104Ah,5,,2025,
,30320100011038,DC regulated power supply,"DC Regulated Power Supply, XinXing Power Supply Manufacturing Plant, Adjustable Switching Power Supply, 120V, 4000W",2,,2025,
,30320100003745,Intelligent Model Set Discharge Equipment,DY23150-2K-105,39,,2025,
,30314100000041,CAN card,CAN Card USBCAN-II Innovation Technology,10,,2025,
,30221601000005,Water immersion sensor,Liquid level sensor JS-DP-2N Kunlun Coast,3,,2025,
,30221608000005,Fire sensors,Fire sensor 45681-246 Apollo,6,,2025,
,10100605000084,BMS Accessory Pack,SE-G5.1 SE-G5.1 DEYE Penghui GSP50160119F_D,10,,2025,
,10100605000049,BMS Accessory Pack,SE-G5.1 SE-G5.1 Neutral No Remarks,5,,2025,
,30221105000669,Battery connection cable,GB-LBS-Pro UL10269 6AWG Red 1PIN PCS Power Cable Positive Terminal 2000mm,3,,2025,
,30221105000670,Battery connection cable,GB-LBS-Pro UL10269 6AWG Black 1PIN PCS Power Cable Negative Terminal 2000mm,3,,2025,
,30221105001101,Battery connection cable,GB-LB-Pro UL1569 24AWG Black 10PIN BMS Temperature Acquisition Cable - Xingqin,5,,2025,
,30221105001096,Battery connection cable,GB-L4.0 UL1569 24AWG Black 18PIN BMS Temperature Acquisition Cable Version V1.1 - Xingqin,5,,2025,
,30221105001099,Battery connection cable,GE-F60 UL1569 24AWG Black 18PIN BMS Temperature Acquisition Cable (Xingqin),3,,2025,
,30221105001098,Battery connection cable,GE-F60 UL1430 22AWG Gray 4PIN BMU Temperature Acquisition,20,,2025,
,30221107000446,Power line,From high voltage box to battery pack negative terminal,2,,2025,
,30221107000064,Power line,From high voltage box to battery pack negative terminal,4,,2025,
,30221107000040,Power line,Power lines between clusters,5,,2025,
,30221107000063,Power line,High voltage box to battery pack positive terminal,15,,2025,
,30221105000668,Battery connection cable single PIN,BOS-G-PDU-2 UL10269 4AWG Black 1PIN PCS Power Harness Negative Terminal 2000mm,5,,2025,
,30221105000667,Battery connection cable single PIN,BOS-G-PDU-2 UL10269 4AWG Red 1PIN PCS Power Harness Positive Terminal 2000mm,5,,2025,
,30221107000516,Battery connection cable single PIN,ESP-250A-70-BK-00(42) UL10269 1AWG Black 3000mm SC50-10,2,,2025,
,30221107000515,Battery connection cable single PIN,ESP-250A-70-OR-00(42) UL10269 1AWG Red 3000mm SC50-10,2,,2025,
,30221105000528,Battery connection cable,GE-F60 UL1569 16AWG Black 10PIN BMS-BMU Communication Harness,20,,2025,
,30221105001748,Communication line,Communication lines between batteries,20,,2025,
,30221105000071,Battery connection cable,SUNHB-5.1-E01-51-3U UL2426 22AWG Black 2PIN Cable Harness Replacement,2,,2025,
,30221105000449,Battery connection cable,SE-G5.3 UL10269 4AWG Red 1PIN PCS Power Harness Positive Terminal 1500mm,5,,2025,
,30221105000448,Battery connection cable,SE-G5.3 UL10269 4AWG Black 1PIN PCS Power Harness Negative Terminal 1500mm,5,,2025,
,30221105000579,Battery connection cable,SE-G5.1-Pro-B UL1569 24AWG Red/Black 3PIN LVESS02_V1.3,3,,2025,
,30221105000602,Battery connection cable (power cable between inverters),"SE-G5.1-Pro-B UL10269 4AWG Black 1PIN PCS Negative Terminal - 1500 One end is a Hongrida 120A elbow connector, the other end is an M10 terminal.",3,,2025,
,30221105000601,Battery connection cable (power cable between inverters),SE-G5.1-Pro-B UL10269 4AWG Red 1PIN PCS Positive Terminal 1500 One end Hongrida 120A Elbow Connector One end M10 Terminal,3,,2025,
,30221105000032,Battery connection cable,SUNB-5.0-E03-51-3U UL10269 4AWG Black 1PIN 300mm Parallel Power Cable Negative,6,,2025,
,30221105000031,Battery connection cable,SUNB-5.0-E03-51-3U UL10269 4AWG Black 1PIN 300mm Parallel Power Cable Negative,6,,2025,
,30221105000536,Battery connection cable,RW-M5.3-Pro UL10269 4AWG Black 1PIN PCS Negative Electrode RNBS22 6+SC25 10 1500mm,3,,2025,
,30221105000535,Battery connection cable,RW-M5.3-Pro UL10269 4AWG Red 1PIN LVESS02 PCS Positive Electrode RNBS22 6+SC2510 1500mm,3,,2025,
,30220521000093,air switch,"Circuit breaker, Tianzheng TGBG-125 1P C125 (RoHS)",10,,2025,
,30220200000028,Large relay,"Large relay, Hongfa HFZ21-50, 50A, 85mm cable length, TycoConnector1-1827864-2",9,,2025,
,30221801000109,fan,Fan: Yongli MGT8024UB-W25 24V,10,,2025,
,30220200000015,Large relay,Same as BOS-G,3,,2025,
,30220200000029,Large relay,Same as BOS-A PDU BOS-W-PDU BOS-G PDU-2,3,,2025,
,30221107000039,Power line,Series wire between batteries,15,,2025,
,30220405000237,Connector,Connector Takamatsu ESS-120A-25-B/S-OR-01-CAP Orange Keyless IP67 Socket,20,,2025,
,30220405000236,Connector,"Connector Takamatsu ESS-120A-25-B/S-BK-01-CAP Black, No Keys, IP67 Socket",20,,2025,
,30220200000014,Large relay,"Large relay, Bestway BSBC7-150TH-P-228 150A",15,,2025,
,30220405000099,Connector,Connector Fengnian Technology 910051700 130A Black M5 Thread Waterproof,15,,2025,
,30220405000098,Fast socket,Connector Fengnian Technology 910051300 130A Orange M5 Thread Waterproof,15,,2025,
,30220405000097,quick plug,Connector Fengnian Technology 910065600 130A Black 25mm,10,,2025,
,30220405000096,quick plug,Connector Fengnian Technology 910065500 130A Orange 25mm,10,,2025,
,30220521000113,air switch,"Circuit breaker, Tianzheng TGBG-125 2P C125 (RoHS) 125A SE-G5.1Pro",3,,2025,
,30221105000603,Battery connection cable (power cable between battery packs),SE-G5.1-Pro-B UL10269 4AWG Black 1PIN Parallel Negative Terminal S-Hongrida 120A Elbow Double-ended,2,,2025,
,30221105000604,Battery connection cable (power cable between battery packs),SE-G5.1-Pro-B UL10269 4AWG Red 1PIN Parallel Positive Terminal - Hongrida 120A Elbow Double-ended,2,,2025,
,30221105001198,Battery connection cable,GB-LBS-Pro ULCAT5EFTP 24AWG Black 8PIN RJ45 Waterproof Terminating Resistor,5,,2025,
,30220405000191,Connector,"Amphenol C10-730187-0100 Connector, Orange, 90-degree Keypad, IP67 Socket",5,,2025,
,30220405000190,Connector,"Amphenol C10-730187-1101 Connector, Black, 180-degree button layout, IP67 rating.",5,,2025,
,30221505000014,Power indicator light red,"Power indicator light, Jinhong HQ-1TO-U/R/24V",3,,2025,
,30221505000013,Power indicator light green,"Power indicator light, Jinhong HQ-1TO-U/G/24V",3,,2025,
,30220507000009,surge protector,Surge protector Sidel SSD50-230,4,,2025,
,30220507000008,surge protector,"Surge protector, Sidell DS42S 280",4,,2025,
,30220507000006,surge protector,"Surge protector, Sidel MJ8-C6A, RJ45 network port",3,,2025,
,30220532000011,Limit switch,Limit switch Eaton LP-11/RL4,3,,2025,
,30221608000001,Fire sensors,Fire sensor LEL combustible gas testing device - 1902022420,3,,2025,
,30221105000664,Battery connection cable,GE-F60 UL1569 22AWG Gray 2PIN Terminating Resistor,10,,2025,
,30220521000063,air switch,"Air switch, Liangxin NDB6Z-125 C125A/3P",3,,2025,
,30081001000183,Fuse,Same as BOS-A PDU,6,,2025,
,30220405000220,Connector,Connector Takamatsu ESS-250A-70-B/S-OR-03 GH-CAP Orange Keyless IP67 Socket,3,,2025,
,30220405000219,Connector,Connector Takamatsu ESS-250A-70-B/S-BK-02 GH-CAP Black No Keys IP67 Socket,3,,2025,
,30220405000287,Connector,"Amphenol C10-791710-0100 Orange Connector, 24-degree key layout, IP67 socket (M8), Busbar copper busbar mounting.",3,,2025,
,30220405000288,Connector,"Amphenol C10-791710-1101 Black Connector, 30-degree Keypad, IP67 Socket (M8), Busbar Copper Mounting",3,,2025,
,30220200000040,Large relay,Same as BOS-A PDU,9,,2025,
,30081001000176,Fuse,FUSE Boyue A372102-400 DY DC250V 400A Fast-Blowing Assembly,11,,2025,
,30220402000006,Terminal Set,RJ450 terminal block with 120Ω terminating resistor (12 pins),10,,2025,
,30220401000139,Terminal,"Terminal block, Fu'anlian PW60-02-02D-C-SUS-RD, red, screw and nut, carbon steel, zinc-nickel plated.",10,,2025,
,30220401000138,Terminal,"Terminal block, Fu'anlian PW60-02-02D-C-SUS, black, screw and nut, carbon steel, zinc-plated nickel alloy.",10,,2025,
,30221105000445,Battery connection cable,SE-G5.3 UL10269 4AWG Red 1PIN 270mm Parallel Power Harness Positive Terminal,5,,2025,
,30221105000444,Battery connection cable,SE-G5.3 UL10269 4AWG Black 1PIN 270mm Parallel Power Harness Negative Terminal,5,,2025,
,30220405000210,Connector,Connector Hongrida HCN120-M0-B-0105 Black No Keys IP67 Socket,5,,2025,
,30220405000211,Connector,Connector Hongrida HCN120-M0-C-0105 Orange Keyless IP67 Socket,5,,2025,
,20110106100896,Auxiliary board DIP,SUN E 80KW SG 02 HP3 XCAP EU V1.1 DIP,5,,2025,
,20110103100263,Control board DIP,SUN 8KW SG 05 LP1 Control Board EU V1.4B DIP,20,,2025,
,20120106100303,Auxiliary board DIP,SUN 100KW Set Three-Phase G01 AC Output Board with Discharge Resistor V1.5 1000V DIP,5,,2025,
,20120106100406,Auxiliary board DIP,SUN Universal Set Series Three-Phase / 485-232-WIFI Board V1.0 1000V Isolation Communication Chip Widened with Inductor Added Trial Production DIP,50,,2025,
,30221501000004,Display screen,Display Screen HYS0263S-nTC2L-VA Huayuan,8,,2025,
,30221501000008,Display screen,Display Screen HYS0263S-nTC2L-VB Huayuan - Horizontal Connector,8,,2025,
,10100605000065,BMU Accessory Pack,BOS-G-Pack 5.1 BOS-G-Pack 5.1 Neutral EVE 100Ah,28,,2025,
,30081001000142,Fuse,"FUSE Boyue A4305-200A 1000V 200A Fast-Blow Fuse, White",50,,2025,
,30220200000030,Large relay,"Large relay, Bestco BSBC7-150TH-P-277 150A, 65mm cable length, TycoConnector1-1827864-2",30,,2025,
,10100605000066,BMS Accessory Pack,BOS-G-PDU-2 BOS-G-PDU-2 Neutral EVE Energy Cell,52,,2025,
,30090803000001,External hexagonal set assembly,GB/T9074.13-1988 External Hexagonal Set Assembly M 6mm * 12mm Galvanized Carbon Steel,105,,2025,
,30221104000954,Inverter connection cable,UL2651-28AWG Gray 14P FC-14P-FC-L=35mm,35,,2025,
,30140400000134,rubber pad,"Rubber pad 550*396*2.8mm, silicone rubber, 136KW",35,,2025,
,30140400000132,rubber pad,Rubber pad 447*296*2.8mm Silicone rubber 100KW-G2,10,,2025,
,30221104001123,Inverter connection cable,Connector cable UL10267 20AWG Red and black 4P XHB-5Y-XHB-5Y reverse-L=550m,35,,2025,
,30080406000017,Thermistor,RES Guotong MZ9230RN PTC R25=30Ω±30% 0.3 14A Silicone Resin / Hand-held Green Flame Retardant UL 94V-0,500,,2025,
,30081001000174,Fuse,FUSE (Gimen ANS-S150A 32V 150A Slow-Break 41*10mm Assembly),100,,2025,
,30080514000016,driver chip,Toshiba TLP152 SOP5 IC Surface Mount,1000,,2025,
,30080506000048,power chip,Infineon ICE3BS03LJG IC is available in isolated 65kHz SOP8 mount.,500,,2025,
,30080618000023,rectifier bridge rectifier,DIODE Yangjie GBJ2516A 1600V 25A D25 Hand-operated,500,,2025,
,30080506000139,power chip,IC UTC LM7812AL-TA3-T TO220 Hand Insert,500,,2025,
,20120106100213,Auxiliary board DIP,SUN 5KW String Single Phase G05 Capacitor Board V1.1 / DIP,30,,2025,
,20120103100110,Control board DIP,SUN 100KW Set Series Three-Phase G02 Control Board V1.0 1100V DIP,20,,2025,
,20120106100107,Auxiliary board DIP,SUN 136KW Set Three-Phase G01 Capacitor Board V1.0 1000V DIP,5,,2025,
,20120104100023,Driver board DIP,SUN 75KW Set Series Three-Phase G03 Driver Board V1.0 1000V DIP,10,,2025,
,20110106100965,Auxiliary board DIP,SUN E 80KW SG 02 HP3 ACDR EU V1.3 DIP,5,,2025,
,20110103100386,Control board DIP,SUN E 80KW SG 02 HP3 Control Board EU V1.3 DIP,5,,2025,
,20110106100362,Auxiliary board DIP,SUN 5KW SG 04 LP1 AC board EU V1.2 DIP,50,,2025,
,20110106100780,Auxiliary board DIP,SUN 80KW SG 02 HP3 Upper Capacitor Board EU V1.0 DIP,5,,2025,
,20110106100969,Auxiliary board DIP,SUN E 80KW SG 02 HP3 Generator Board EU V1.0 DIP,5,,2025,
,20110106101092,Auxiliary board DIP,SUN E 80KW SG 02 HP3 Relay Board EU V1.5.2 DIP,5,,2025,
,20110106101047,Auxiliary board DIP,SUN E 80KW SG 02 HP3 AC Output Board EU V1.4 DIP,5,,2025,
,20110106100055,Auxiliary board DIP,SUN 5KW SG 04 LP1 Generator Board EU V1.0 DIP,20,,2025,
,20110106100090,Auxiliary board DIP,SUN 12KW SG 02 LP2 Connector Board (Sol-Ark) US V1.2 DIP,5,,2025,
,20110106100963,Auxiliary board DIP,SUN E 80KW SG 02 HP3 XCAP EU V1.3 DIP,5,,2025,
,20110106100105,Auxiliary board DIP,SUN 5KW SG 04 LP1 Generator Board EU V1.1 DIP,20,,2025,
,20110106101094,Auxiliary board DIP,SUN E 80KW SG 02 HP3 Interface Board EU V1.3.1 DIP,5,,2025,
,20110106100694,Auxiliary board DIP,SUN 5KW SG 04 LP1 Southeast Asia Relay Board EU V1.2 DIP,30,,2025,
,20110106100977,Auxiliary board DIP,SUN E 80KW SG 02 HP3 Lower Layer Capacitor Board EU V1.3 DIP,5,,2025,
,20110101100339,Main Board DIP,SUN E 80KW SG 02 HP3 DC Input Board EU V1.5 DIP,5,,2025,
,20110104100240,Driver board DIP,SUN E 80KW SG 02 HP3 Power Board EU V1.8 DIP,5,,2025,
,30080506000103,power chip,IC UTC UC3843BP-S08-R -40~125℃ SOP-8 Surface Mount,520,,2025,
,30080506000053,Power module,"Mornsun B0505XT IC, Isolated 1000VDC 4.5-5.5Vin 5Vout 1W, SOP5 Surface Mount",20,,2025,
,30080515000031,Communication chips,IC Kaitu Micro CA-IS3082WNX 485 Communication SOP16 Surface Mount,20,,2025,
,30080515000011,Communication chips,Nanochip Microelectronics NSi1050 CAN DUB-8 Surface Mount,20,,2025,
,30080506000115,power chip,IC Jiangsu Chang Crystal LM317 T0-220-2L Hand-inserted,320,,2025,
,30080506000035,power chip,IC ST L7815CV 35Vin ADJout 1.5Aout LDO TO220 Hand-mounted,520,,2025,
,20120103100041,Control board DIP,SUN 60KW Set Series Three-Phase G02 Control Board V1.4 1000V DIP,35,,2025,
,20120103100046,Control board DIP,SUN 75KW Set Series Three-Phase G01 Control Board V1.0 1000V DIP,35,,2025,
,10100605000032,BMS Accessory Pack,SE-G5.1-Pro-B SE-G5.1-Pro-B Neutral No Notes,14,,2025,
,10100605000102,BMS Accessory Pack,SE-F5 PLUS SE-F5 PLUS DEYE 20710102100002BMS board,2,,2025,
,10100605000091,BMS Accessory Pack,SE-F5 PLUS SE-F5 PLUS DEYE Penghui GSP50160119F_L LVESS13_MOS_V1.1,3,,2025,
,30221700000061,Antenna,"Black WiFi antenna with 1.37mm double solder wire + first-generation terminal, L=100mm",30,,2025,
,20120106100323,Auxiliary board DIP,SUN / / G04 RS232-RS485-Isolation-Vertical V1.3 / Yibang DIP,30,,2025,
,30080111000016,Current sensor,SEN Tamura L18P025D15 Current 25A Sensitivity 64mV/A Hand-operated,50,,2025,
,20120106100073,Auxiliary board DIP,SUN 485-232 Set Series Three-Phase / WIFI Board / 1000V DIP,50,,2025,
,20120103100159,Control board DIP,SUN 80KW Set Series Three-Phase G04 Control Board V1.0 1000V Fast Shutdown Arc Breaker DIP,10,,2025,
,20110103100338,Control board DIP,SUN 20KW SG 05 LP3 2 48V Control Board EU V1.1 DIP,10,,2025,
,30090801000017,Cross-groove Set Assembly,GBT9074.4-1988 Cross-groove Set Assembly M 4mm * 12mm Waxed Stainless Steel,400,,2025,
,30090503000012,Flange nuts,GBT6177-2000 Flange Nuts M 4mm None Stainless Steel Right,400,,2025,
,30160803000010,doornail,"Door nails, zinc alloy, 64*31*10.5mm, black, flush-mount hinges.",210,,2025,
,10010202003301,Three-phase Set-string inverter,"SUN 80KW G04 P3 MPPT4 H 1100V Circuit Breaker, Deye External WIFI RS485 Meter, India FESTA Set Series Current Detection V1",3,,2025,
,10010202003300,Three-phase Set-string inverter,"SUN 60KW G04 P3 MPPT4 H 1100V Circuit Breaker, Deye External WIFI RS485 Meter, India FESTA Set Series Current Detection V1",1,,2025,
,10010202003026,Three-phase Set-string inverter,"SUN 50KW G04 P3 MPPT4 H 1100V Circuit Breaker with Built-in WIFI RS485 Meter, India FESTA - Built-in +4G - New Housing, Set Series Current Detection, V1",2,,2025,
,10010202003025,Three-phase Set-string inverter,"SUN 40KW G04 P3 MPPT4 H 1100V Circuit Breaker with Built-in WIFI RS485 Meter, India FESTA - Built-in +4G - New Casing, Set Series Current Detection, V1",2,,2025,
,10010102002485,Three-phase energy storage inverter,SUN 12KW SG 05 LP3 Black MPPT2 48V Locking Type EU 3.5TFT CT GEN Deye WIFI India FESTA V3,2,,2025,
,10010202003015,Three-phase Set-string inverter,"SUN 25KW G05 P3 MPPT2 H 1100V Circuit Breaker, Built-in WIFI RS485 Meter, India FESTA - Built-in +4G - New Casing V1",2,,2025,
,10010102002497,Three-phase energy storage inverter,SUN 30KW SG 01 HP3 White MPPT3 800V High Voltage 50KW Type B EU 3.5TFT CT GEN Deye WIFI India FESTA V2,1,,2025,
,10010202003299,Three-phase Set-string inverter,"SUN 90KW G02 P3 MPPT6 H 1100V Circuit Breaker, Deye External WIFI RS485 Meter, India FESTA Set Series Current Detection V1",1,,2025,
,10100605000015,BMS Accessory Pack,RW-M5.3 RW-M5.3 Neutral,15,,2025,
,10100605000037,BMS,RW-M5.3-Pro Neutral (M6),60,,2025,
,10100605000005,BMU Accessory Pack,GB-LM4.0 GB-LM4.0 Neutral,25,,2025,
,10100603000004,Stand accessory kit,Old version cluster frame ear hook. Neutral. No remarks.,1,,2025,
,30220401000114,Terminal,"Terminal block, Takamatsu DG100D-A-02P-16-02Z(H) 100A, Red",5,,2025,
,30220401000113,Terminal,"Terminal block, Takamatsu DG100D-A-02P-13-02Z(H) 100A, Black",5,,2025,
,30080601000050,IGBT,IGBT Magnetics MBQ60T65PES 650V 60A TO247 hand plug,500,,2025,
,30080111000038,Current sensor,SEN XiCi STK-P/M1S-1 1.0A Sensitivity 1.2V/A Hand-inserted,200,,2025,
,20120106100380,Auxiliary board DIP,SUN Universal String Single Phase G05 WIFI-USB-CON V1.0 / DIP,50,,2025,
,20120106100283,Auxiliary board DIP,SUN 33KW Set Series Three-Phase G04 Current+DRM+AFCI+EMC V1.0 1100V DIP,20,,2025,
,20120106100325,Auxiliary board DIP,SUN Universal String Single Phase / CON V1.6 / Ingenium DIP,50,,2025,
,30080602000001,IGBT module,IGBT Weike FT12NMA200SH01 1200V 200A Hand-operated,30,,2025,
,20120106100105,Auxiliary board DIP,SUN 136KW Set Three-Phase G01 output1 V1.0 1000V DIP,15,,2025,
,20120101100087,Main Board DIP,SUN 80KW Set Three-Phase G03 Motherboard V1.0 1000V DIP,30,,2025,
,30221700000006,Data acquisition stick WiFi,Data Acquisition Stick 2.4G DB9 LSW-3A5251-Xiyingzhen-DB9 (without markings),50,,2025,
,20110103100169,Control board DIP,SUN 5KW SG 04 LP1 Control Board EU V1.1B DIP,50,,2025,
